verse,text
Matthew 13:1-9,"On that day Jesus went out of the house, and sat by the seaside.
Great multitudes gathered to him, so that he entered into a boat, and sat, and all the multitude stood on the beach.
He spoke to them many things in parables, saying,
“Behold, a farmer went out to sow.


As he sowed, some seeds fell by the roadside, and the birds came and devoured them.


Others fell on rocky ground, where they didn’t have much soil, and immediately they sprang up, because they had no depth of earth.


When the sun had risen, they were scorched. Because they had no root, they withered away.


Others fell among thorns. The thorns grew up and choked them.


Others fell on good soil, and yielded fruit: some one hundred times as much, some sixty, and some thirty.


He who has ears to hear, let him hear.”
"
Mark 1:9-11,"In those days, Jesus came from Nazareth of Galilee, and was baptized by John in the Jordan.
Immediately coming up from the water, he saw the heavens parting, and the Spirit descending on him like a dove.
A voice came out of the sky, “You are my beloved Son, in whom I am well pleased.”
"
Mark 1:12-13,"Immediately the Spirit drove him out into the wilderness.
He was there in the wilderness forty days tempted by Satan. He was with the wild animals; and the angels were serving him.
"
Matthew 4:1-11,"Then Jesus was led up by the Spirit into the wilderness to be tempted by the devil.
When he had fasted forty days and forty nights, he was hungry afterward.
The tempter came and said to him, “If you are the Son of God, command that these stones become bread.”
But he answered,
“It is written, ‘Man shall not live by bread alone, but by every word that proceeds out of the mouth of God.’”
Then the devil took him into the holy city. He set him on the pinnacle of the temple,
and said to him, “If you are the Son of God, throw yourself down, for it is written, ‘He will put his angels in charge of you.’ and,
‘On their hands they will bear you up,
so that you don’t dash your foot against a stone.’”
Jesus said to him,
“Again, it is written, ‘You shall not test the Lord, your God.’”
Again, the devil took him to an exceedingly high mountain, and showed him all the kingdoms of the world, and their glory.
He said to him, “I will give you all of these things, if you will fall down and worship me.”
Then Jesus said to him,
“Get behind me,
Satan! For it is written, ‘You shall worship the Lord your God, and you shall serve him only.’”

Then the devil left him, and behold, angels came and served him.
"
Luke 8:11-15,"
Now the parable is this: The seed is the word of God.


Those along the road are those who hear, then the devil comes, and takes away the word from their heart, that they may not believe and be saved.


Those on the rock are they who, when they hear, receive the word with joy; but these have no root, who believe for a while, then fall away in time of temptation.


That which fell among the thorns, these are those who have heard, and as they go on their way they are choked with cares, riches, and pleasures of life, and bring no fruit to maturity.


Those in the good ground, these are those who with an honest and good heart, having heard the word, hold it tightly, and produce fruit with perseverance.
"
Matthew 17:1-8,"After six days, Jesus took with him Peter, James, and John his brother, and brought them up into a high mountain by themselves.
He was transfigured before them. His face shone like the sun, and his garments became as white as the light.
Behold, Moses and Elijah appeared to them talking with him.
Peter answered, and said to Jesus, “Lord, it is good for us to be here. If you want, let’s make three tents here: one for you, one for Moses, and one for Elijah.”
While he was still speaking, behold, a bright cloud overshadowed them. Behold, a voice came out of the cloud, saying, “This is my beloved Son, in whom I am well pleased. Listen to him.”
When the disciples heard it, they fell on their faces, and were very afraid.
Jesus came and touched them and said,
“Get up, and don’t be afraid.”

Lifting up their eyes, they saw no one, except Jesus alone.
"
Mark 5:1-20,"They came to the other side of the sea, into the country of the Gadarenes.
When he had come out of the boat, immediately a man with an unclean spirit met him out of the tombs.
He lived in the tombs. Nobody could bind him any more, not even with chains,
because he had been often bound with fetters and chains, and the chains had been torn apart by him, and the fetters broken in pieces. Nobody had the strength to tame him.
Always, night and day, in the tombs and in the mountains, he was crying out, and cutting himself with stones.
When he saw Jesus from afar, he ran and bowed down to him,
and crying out with a loud voice, he said, “What have I to do with you, Jesus, you Son of the Most High God? I adjure you by God, don’t torment me.”
For he said to him,
“Come out of the man, you unclean spirit!”

He asked him,
“What is your name?”
He said to him, “My name is Legion, for we are many.”
He begged him much that he would not send them away out of the country.
Now on the mountainside there was a great herd of pigs feeding.
All the demons begged him, saying, “Send us into the pigs, that we may enter into them.”
At once Jesus gave them permission. The unclean spirits came out and entered into the pigs. The herd of about two thousand rushed down the steep bank into the sea, and they were drowned in the sea.
Those who fed them fled, and told it in the city and in the country.
The people came to see what it was that had happened.
They came to Jesus, and saw him who had been possessed by demons sitting, clothed, and in his right mind, even him who had the legion; and they were afraid.
Those who saw it declared to them what happened to him who was possessed by demons, and about the pigs.
They began to beg him to depart from their region.
As he was entering into the boat, he who had been possessed by demons begged him that he might be with him.
He didn’t allow him, but said to him,
“Go to your house, to your friends, and tell them what great things the Lord has done for you, and how he had mercy on you.”
He went his way, and began to proclaim in Decapolis how Jesus had done great things for him, and everyone marveled.
"
Mark 11:15-18,"They came to Jerusalem, and Jesus entered into the temple, and began to throw out those who sold and those who bought in the temple, and overthrew the money changers’ tables, and the seats of those who sold the doves.
He would not allow anyone to carry a container through the temple.
He taught, saying to them,
“Isn’t it written, ‘My house will be called a house of prayer for all the nations?’
But you have made it a den of robbers!”
The chief priests and the scribes heard it, and sought how they might destroy him. For they feared him, because all the multitude was astonished at his teaching.
"
Mark 5:21-43,"When Jesus had crossed back over in the boat to the other side, a great multitude was gathered to him; and he was by the sea.
Behold, one of the rulers of the synagogue, Jairus by name, came; and seeing him, he fell at his feet,
and begged him much, saying, “My little daughter is at the point of death. Please come and lay your hands on her, that she may be made healthy, and live.”
He went with him, and a great multitude followed him, and they pressed upon him on all sides.
A certain woman, who had an issue of blood for twelve years,
and had suffered many things by many physicians, and had spent all that she had, and was no better, but rather grew worse,
having heard the things concerning Jesus, came up behind him in the crowd, and touched his clothes.
For she said, “If I just touch his clothes, I will be made well.”
Immediately the flow of her blood was dried up, and she felt in her body that she was healed of her affliction.
Immediately Jesus, perceiving in himself that the power had gone out from him, turned around in the crowd, and asked,
“Who touched my clothes?”
His disciples said to him, “You see the multitude pressing against you, and you say, ‘Who touched me?’”
He looked around to see her who had done this thing.
But the woman, fearing and trembling, knowing what had been done to her, came and fell down before him, and told him all the truth.
He said to her,
“Daughter, your faith has made you well. Go in peace, and be cured of your disease.”
While he was still speaking, people came from the synagogue ruler’s house saying, “Your daughter is dead. Why bother the Teacher any more?”
But Jesus, when he heard the message spoken, immediately said to the ruler of the synagogue,
“Don’t be afraid, only believe.”
He allowed no one to follow him, except Peter, James, and John the brother of James.
He came to the synagogue ruler’s house, and he saw an uproar, weeping, and great wailing.
When he had entered in, he said to them,
“Why do you make an uproar and weep? The child is not dead, but is asleep.”
They ridiculed him. But he, having put them all out, took the father of the child, her mother, and those who were with him, and went in where the child was lying.
Taking the child by the hand, he said to her,
“Talitha cumi!”
 which means, being interpreted,
“Girl, I tell you, get up!”

Immediately the girl rose up and walked, for she was twelve years old. They were amazed with great amazement.
He strictly ordered them that no one should know this, and commanded that something should be given to her to eat.
"
Mark 4:13-20,"He said to them,
“Don’t you understand this parable? How will you understand all of the parables?


The farmer sows the word.


The ones by the road are the ones where the word is sown; and when they have heard, immediately Satan comes, and takes away the word which has been sown in them.


These in the same way are those who are sown on the rocky places, who, when they have heard the word, immediately receive it with joy.


They have no root in themselves, but are short-lived. When oppression or persecution arises because of the word, immediately they stumble.


Others are those who are sown among the thorns. These are those who have heard the word,


and the cares of this age, and the deceitfulness of riches, and the lusts of other things entering in choke the word, and it becomes unfruitful.


Those which were sown on the good ground are those who hear the word, and accept it, and bear fruit, some thirty times, some sixty times, and some one hundred times.”
"
Luke 4:1-13,"Jesus, full of the Holy Spirit, returned from the Jordan, and was led by the Spirit into the wilderness
for forty days, being tempted by the devil. He ate nothing in those days. Afterward, when they were completed, he was hungry.
The devil said to him, “If you are the Son of God, command this stone to become bread.”
Jesus answered him, saying,
“It is written, ‘Man shall not live by bread alone, but by every word of God.’”
The devil, leading him up on a high mountain, showed him all the kingdoms of the world in a moment of time.
The devil said to him, “I will give you all this authority, and their glory, for it has been delivered to me; and I give it to whomever I want.
If you therefore will worship before me, it will all be yours.”
Jesus answered him,
“Get behind me Satan! For it is written, ‘You shall worship the Lord your God, and you shall serve him only.’”
He led him to Jerusalem, and set him on the pinnacle of the temple, and said to him, “If you are the Son of God, cast yourself down from here,
for it is written,
‘He will put his angels in charge of you, to guard you;’
and,
‘On their hands they will bear you up,
lest perhaps you dash your foot against a stone.’”
Jesus answering, said to him,
“It has been said, ‘You shall not tempt the Lord your God.’”
When the devil had completed every temptation, he departed from him until another time.
"
John 6:1-15,"After these things, Jesus went away to the other side of the sea of Galilee, which is also called the Sea of Tiberias.
A great multitude followed him, because they saw his signs which he did on those who were sick.
Jesus went up into the mountain, and he sat there with his disciples.
Now the Passover, the feast of the Jews, was at hand.
Jesus therefore lifting up his eyes, and seeing that a great multitude was coming to him, said to Philip,
“Where are we to buy bread, that these may eat?”
This he said to test him, for he himself knew what he would do.
Philip answered him, “Two hundred denarii worth of bread is not sufficient for them, that everyone of them may receive a little.”
One of his disciples, Andrew, Simon Peter’s brother, said to him,
“There is a boy here who has five barley loaves and two fish, but what are these among so many?”
Jesus said,
“Have the people sit down.” Now there was much grass in that place. So the men sat down, in number about five thousand.
Jesus took the loaves; and having given thanks, he distributed to the disciples, and the disciples to those who were sitting down; likewise also of the fish as much as they desired.
When they were filled, he said to his disciples,
“Gather up the broken pieces which are left over, that nothing be lost.”
So they gathered them up, and filled twelve baskets with broken pieces from the five barley loaves, which were left over by those who had eaten.
When therefore the people saw the sign which Jesus did, they said, “This is truly the prophet who comes into the world.”
Jesus therefore, perceiving that they were about to come and take him by force, to make him king, withdrew again to the mountain by himself.
"
Luke 9:28-36,"About eight days after these sayings, he took with him Peter, John, and James, and went up onto the mountain to pray.
As he was praying, the appearance of his face was altered, and his clothing became white and dazzling.
Behold, two men were talking with him, who were Moses and Elijah,
who appeared in glory, and spoke of his departure, which he was about to accomplish at Jerusalem.
Now Peter and those who were with him were heavy with sleep, but when they were fully awake, they saw his glory, and the two men who stood with him.
As they were parting from him, Peter said to Jesus, “Master, it is good for us to be here. Let’s make three tents: one for you, and one for Moses, and one for Elijah,” not knowing what he said.
While he said these things, a cloud came and overshadowed them, and they were afraid as they entered into the cloud.
A voice came out of the cloud, saying, “This is my beloved Son. Listen to him!”
When the voice came, Jesus was found alone. They were silent, and told no one in those days any of the things which they had seen.
"
Matthew 14:13-21,"Now when Jesus heard this, he withdrew from there in a boat, to a deserted place apart. When the multitudes heard it, they followed him on foot from the cities.
Jesus went out, and he saw a great multitude. He had compassion on them, and healed their sick.
When evening had come, his disciples came to him, saying, “This place is deserted, and the hour is already late. Send the multitudes away, that they may go into the villages, and buy themselves food.”
But Jesus said to them,
“They don’t need to go away. You give them something to eat.”
They told him, “We only have here five loaves and two fish.”
He said,
“Bring them here to me.”
He commanded the multitudes to sit down on the grass; and he took the five loaves and the two fish, and looking up to heaven, he blessed, broke and gave the loaves to the disciples, and the disciples gave to the multitudes.
They all ate, and were filled. They took up twelve baskets full of that which remained left over from the broken pieces.
Those who ate were about five thousand men, besides women and children.
"
Matthew 27:55-56,"Many women were there watching from afar, who had followed Jesus from Galilee, serving him.
Among them were Mary Magdalene, Mary the mother of James and Joses, and the mother of the sons of Zebedee.
"
Matthew 10:1-4,"He called to himself his twelve disciples, and gave them authority over unclean spirits, to cast them out, and to heal every disease and every sickness.
Now the names of the twelve apostles are these. The first, Simon, who is called Peter; Andrew, his brother; James the son of Zebedee; John, his brother;
Philip; Bartholomew; Thomas; Matthew the tax collector; James the son of Alphaeus; Lebbaeus, who was also called Thaddaeus;
Simon the Canaanite; and Judas Iscariot, who also betrayed him.
"
Mark 16:1-8,"When the Sabbath was past, Mary Magdalene, and Mary the mother of James, and Salome, bought spices, that they might come and anoint him.
Very early on the first day of the week, they came to the tomb when the sun had risen.
They were saying among themselves, “Who will roll away the stone from the door of the tomb for us?”
for it was very big. Looking up, they saw that the stone was rolled back.
Entering into the tomb, they saw a young man sitting on the right side, dressed in a white robe, and they were amazed.
He said to them, “Don’t be amazed. You seek Jesus, the Nazarene, who has been crucified. He has risen. He is not here. Behold, the place where they laid him!
But go, tell his disciples and Peter, ‘He goes before you into Galilee. There you will see him, as he said to you.’”
They went out, and fled from the tomb, for trembling and astonishment had come on them. They said nothing to anyone; for they were afraid.
"
Luke 19:45-46,"He entered into the temple, and began to drive out those who bought and sold in it,
saying to them,
“It is written, ‘My house is a house of prayer,’

but you have made it a ‘den of robbers’!”

"
Mark 4:1-9,"Again he began to teach by the seaside. A great multitude was gathered to him, so that he entered into a boat in the sea, and sat down. All the multitude were on the land by the sea.
He taught them many things in parables, and told them in his teaching,

“Listen! Behold, the farmer went out to sow,


and as he sowed, some seed fell by the road, and the birds
came and devoured it.


Others fell on the rocky ground, where it had little soil, and immediately it sprang up, because it had no depth of soil.


When the sun had risen, it was scorched; and because it had no root, it withered away.


Others fell among the thorns, and the thorns grew up, and choked it, and it yielded no fruit.


Others fell into the good ground, and yielded fruit, growing up and increasing. Some produced thirty times, some sixty times, and some one hundred times as much.”
He said,
“Whoever has ears to hear, let him hear.”
"
Luke 2:1-7,"Now in those days, a decree went out from Caesar Augustus that all the world should be enrolled.
This was the first enrollment made when Quirinius was governor of Syria.
All went to enroll themselves, everyone to his own city.
Joseph also went up from Galilee, out of the city of Nazareth, into Judea, to David’s city, which is called Bethlehem, because he was of the house and family of David;
to enroll himself with Mary, who was pledged to be married to him as wife, being pregnant.
While they were there, the day had come for her to give birth.
She gave birth to her firstborn son. She wrapped him in bands of cloth, and laid him in a feeding trough, because there was no room for them in the inn.
"
Luke 4:38-39,"He rose up from the synagogue, and entered into Simon’s house. Simon’s mother-in-law was afflicted with a great fever, and they begged him for her.
He stood over her, and rebuked the fever; and it left her. Immediately she rose up and served them.
"
Matthew 6:7-15,"
In praying, don’t use vain repetitions, as the Gentiles do; for they think that they will be heard for their much speaking.


Therefore don’t be like them, for your Father knows what things you need, before you ask him.


Pray like this: ‘Our Father in heaven, may your name be kept holy.


Let your Kingdom come. Let your will be done, as in heaven, so on earth.


Give us today our daily bread.


Forgive us our debts, as we also forgive our debtors.


Bring us not into temptation, but deliver us from the evil one. For yours is the Kingdom, the power, and the glory forever. Amen.’

“For if you forgive men their trespasses, your heavenly Father will also forgive you.


But if you don’t forgive men their trespasses, neither will your Father forgive your trespasses.
"
Matthew 13:18-23,"
“Hear, then, the parable of the farmer.


When anyone hears the word of the Kingdom, and doesn’t understand it, the evil one comes, and snatches away that which has been sown in his heart. This is what was sown by the roadside.


What was sown on the rocky places, this is he who hears the word, and immediately with joy receives it;


yet he has no root in himself, but endures for a while. When oppression or persecution arises because of the word, immediately he stumbles.


What was sown among the thorns, this is he who hears the word, but the cares of this age and the deceitfulness of riches choke the word, and he becomes unfruitful.


What was sown on the good ground, this is he who hears the word, and understands it, who most certainly bears fruit, and produces, some one hundred times as much, some sixty, and some thirty.”
"
Luke 6:12-16,"In these days, he went out to the mountain to pray, and he continued all night in prayer to God.
When it was day, he called his disciples, and from them he chose twelve, whom he also named apostles:
Simon, whom he also named Peter; Andrew, his brother; James; John; Philip; Bartholomew;
Matthew; Thomas; James, the son of Alphaeus; Simon, who was called the Zealot;
Judas the son of James; and Judas Iscariot, who also became a traitor.
"
Luke 9:10-17,"The apostles, when they had returned, told him what things they had done.
He took them, and withdrew apart to a desert region of a city called Bethsaida.
But the multitudes, perceiving it, followed him. He welcomed them, and spoke to them of God’s Kingdom, and he cured those who needed healing.
The day began to wear away; and the twelve came, and said to him, “Send the multitude away, that they may go into the surrounding villages and farms, and lodge, and get food, for we are here in a deserted place.”
But he said to them,
“You give them something to eat.”
They said, “We have no more than five loaves and two fish, unless we should go and buy food for all these people.”
For they were about five thousand men.
He said to his disciples,
“Make them sit down in groups of about fifty each.”
They did so, and made them all sit down.
He took the five loaves and the two fish, and looking up to the sky, he blessed them, and broke them, and gave them to the disciples to set before the multitude.
They ate, and were all filled. They gathered up twelve baskets of broken pieces that were left over.
"
Matthew 28:1-10,"Now after the Sabbath, as it began to dawn on the first day of the week, Mary Magdalene and the other Mary came to see the tomb.
Behold, there was a great earthquake, for an angel of the Lord descended from the sky, and came and rolled away the stone from the door, and sat on it.
His appearance was like lightning, and his clothing white as snow.
For fear of him, the guards shook, and became like dead men.
The angel answered the women, “Don’t be afraid, for I know that you seek Jesus, who has been crucified.
He is not here, for he has risen, just like he said. Come, see the place where the Lord was lying.
Go quickly and tell his disciples, ‘He has risen from the dead, and behold, he goes before you into Galilee; there you will see him.’ Behold, I have told you.”
They departed quickly from the tomb with fear and great joy, and ran to bring his disciples word.
As they went to tell his disciples, behold, Jesus met them, saying,
“Rejoice!”
They came and took hold of his feet, and worshiped him.
Then Jesus said to them,
“Don’t be afraid. Go tell my brothers

that they should go into Galilee, and there they will see me.”
"
Mark 3:13-19,"He went up into the mountain, and called to himself those whom he wanted, and they went to him.
He appointed twelve, that they might be with him, and that he might send them out to preach,
and to have authority to heal sicknesses and to cast out demons:
Simon (to whom he gave the name Peter);
James the son of Zebedee; and John, the brother of James, (whom he called Boanerges, which means, Sons of Thunder);
Andrew; Philip; Bartholomew; Matthew; Thomas; James, the son of Alphaeus; Thaddaeus; Simon the Zealot;
and Judas Iscariot, who also betrayed him.
Then he came into a house.
"
Luke 8:4-8,"When a great multitude came together, and people from every city were coming to him, he spoke by a parable.

“The farmer went out to sow his seed. As he sowed, some fell along the road, and it was trampled under foot, and the birds of the sky devoured it.


Other seed fell on the rock, and as soon as it grew, it withered away, because it had no moisture.


Other fell amid the thorns, and the thorns grew with it, and choked it.


Other fell into the good ground, and grew, and produced one hundred times as much fruit.” As he said these things, he called out,
“He who has ears to hear, let him hear!”
"
Matthew 8:28-34,"When he came to the other side, into the country of the Gergesenes,
 two people possessed by demons met him there, coming out of the tombs, exceedingly fierce, so that nobody could pass that way.
Behold, they cried out, saying, “What do we have to do with you, Jesus, Son of God? Have you come here to torment us before the time?”
Now there was a herd of many pigs feeding far away from them.
The demons begged him, saying, “If you cast us out, permit us to go away into the herd of pigs.”
He said to them,
“Go!”
They came out, and went into the herd of pigs: and behold, the whole herd of pigs rushed down the cliff into the sea, and died in the water.
Those who fed them fled, and went away into the city, and told everything, including what happened to those who were possessed with demons.
Behold, all the city came out to meet Jesus. When they saw him, they begged that he would depart from their borders.
"
Matthew 5:43-48,"
“You have heard that it was said, ‘You shall love your neighbor

and hate your enemy.’

But I tell you, love your enemies, bless those who curse you, do good to those who hate you, and pray for those who mistreat you and persecute you,


that you may be children of your Father who is in heaven. For he makes his sun to rise on the evil and the good, and sends rain on the just and the unjust.


For if you love those who love you, what reward do you have? Don’t even the tax collectors do the same?


If you only greet your friends, what more do you do than others? Don’t even the tax collectors
do the same?


Therefore you shall be perfect, just as your Father in heaven is perfect.
"
Matthew 8:14-15,"When Jesus came into Peter’s house, he saw his wife’s mother lying sick with a fever.
He touched her hand, and the fever left her. She got up and served him.

"
