,verse,text,category,pericope
10,Luke 2:21-38,"When eight days were fulfilled for the circumcision of the child, his name was called Jesus, which was given by the angel before he was conceived in the womb.
When the days of their purification according to the law of Moses were fulfilled, they brought him up to Jerusalem, to present him to the Lord
(as it is written in the law of the Lord, “Every male who opens the womb shall be called holy to the Lord”),
and to offer a sacrifice according to that which is said in the law of the Lord, “A pair of turtledoves, or two young pigeons.”
Behold, there was a man in Jerusalem whose name was Simeon. This man was righteous and devout, looking for the consolation of Israel, and the Holy Spirit was on him.
It had been revealed to him by the Holy Spirit that he should not see death before he had seen the Lord’s Christ.
He came in the Spirit into the temple. When the parents brought in the child, Jesus, that they might do concerning him according to the custom of the law,
then he received him into his arms, and blessed God, and said,
“Now you are releasing your servant, Master,
according to your word, in peace;
for my eyes have seen your salvation,
which you have prepared before the face of all peoples;
a light for revelation to the nations,
and the glory of your people Israel.”
Joseph and his mother were marveling at the things which were spoken concerning him,
and Simeon blessed them, and said to Mary, his mother, “Behold, this child is set for the falling and the rising of many in Israel, and for a sign which is spoken against.
Yes, a sword will pierce through your own soul, that the thoughts of many hearts may be revealed.”
There was one Anna, a prophetess, the daughter of Phanuel, of the tribe of Asher (she was of a great age, having lived with a husband seven years from her virginity,
and she had been a widow for about eighty-four years), who didn’t depart from the temple, worshiping with fastings and petitions night and day.
Coming up at that very hour, she gave thanks to the Lord, and spoke of him to all those who were looking for redemption in Jerusalem.
",childhood,The Circumcision and Presentation in the Temple
11,Matthew 2:13-21,"Now when they had departed, behold, an angel of the Lord appeared to Joseph in a dream, saying, “Arise and take the young child and his mother, and flee into Egypt, and stay there until I tell you, for Herod will seek the young child to destroy him.”
He arose and took the young child and his mother by night, and departed into Egypt,
and was there until the death of Herod; that it might be fulfilled which was spoken by the Lord through the prophet, saying, “Out of Egypt I called my son.”
Then Herod, when he saw that he was mocked by the wise men, was exceedingly angry, and sent out, and killed all the male children who were in Bethlehem and in all the surrounding countryside, from two years old and under, according to the exact time which he had learned from the wise men.
Then that which was spoken by Jeremiah the prophet was fulfilled, saying,
“A voice was heard in Ramah,
lamentation, weeping and great mourning,
Rachel weeping for her children;
she wouldn’t be comforted,
because they are no more.”
But when Herod was dead, behold, an angel of the Lord appeared in a dream to Joseph in Egypt, saying,
“Arise and take the young child and his mother, and go into the land of Israel, for those who sought the young child’s life are dead.”
He arose and took the young child and his mother, and came into the land of Israel.
",childhood,The Flight into Egypt and Return
12,Matthew 2:22-23,"But when he heard that Archelaus was reigning over Judea in the place of his father, Herod, he was afraid to go there. Being warned in a dream, he withdrew into the region of Galilee,
and came and lived in a city called Nazareth; that it might be fulfilled which was spoken through the prophets: “He will be called a Nazarene.”
",childhood,The Childhood of Jesus at Nazareth
13,Luke 2:39-40,"When they had accomplished all things that were according to the law of the Lord, they returned into Galilee, to their own city, Nazareth.
The child was growing, and was becoming strong in spirit, being filled with wisdom, and the grace of God was upon him.
",childhood,The Childhood of Jesus at Nazareth
14,Luke 2:41-52,"His parents went every year to Jerusalem at the feast of the Passover.
When he was twelve years old, they went up to Jerusalem according to the custom of the feast,
and when they had fulfilled the days, as they were returning, the boy Jesus stayed behind in Jerusalem. Joseph and his mother didn’t know it,
but supposing him to be in the company, they went a day’s journey, and they looked for him among their relatives and acquaintances.
When they didn’t find him, they returned to Jerusalem, looking for him.
After three days they found him in the temple, sitting in the middle of the teachers, both listening to them, and asking them questions.
All who heard him were amazed at his understanding and his answers.
When they saw him, they were astonished, and his mother said to him, “Son, why have you treated us this way? Behold, your father and I were anxiously looking for you.”
He said to them,
“Why were you looking for me? Didn’t you know that I must be in my Father’s house?”
They didn’t understand the saying which he spoke to them.
And he went down with them, and came to Nazareth. He was subject to them, and his mother kept all these sayings in her heart.
And Jesus increased in wisdom and stature, and in favor with God and men.
",childhood,The Boy Jesus in the Temple
15,Matthew 3:1-6,"In those days, John the Baptizer came, preaching in the wilderness of Judea, saying,
“Repent, for the Kingdom of Heaven is at hand!”
For this is he who was spoken of by Isaiah the prophet, saying,
“The voice of one crying in the wilderness,
make ready the way of the Lord.
Make his paths straight.”
Now John himself wore clothing made of camel’s hair, with a leather belt around his waist. His food was locusts and wild honey.
Then people from Jerusalem, all of Judea, and all the region around the Jordan went out to him.
They were baptized by him in the Jordan, confessing their sins.
",preparation,John the Baptist
16,Mark 1:2-6,"As it is written in the prophets,
“Behold, I send my messenger before your face,
who will prepare your way before you:
the voice of one crying in the wilderness,
‘Make ready the way of the Lord!
Make his paths straight!’”
John came baptizing in the wilderness and preaching the baptism of repentance for forgiveness of sins.
All the country of Judea and all those of Jerusalem went out to him. They were baptized by him in the Jordan river, confessing their sins.
John was clothed with camel’s hair and a leather belt around his waist. He ate locusts and wild honey.
",preparation,John the Baptist
17,Luke 3:1-6,"Now in the fifteenth year of the reign of Tiberius Caesar, Pontius Pilate being governor of Judea, and Herod being tetrarch of Galilee, and his brother Philip tetrarch of the region of Ituraea and Trachonitis, and Lysanias tetrarch of Abilene,
in the high priesthood of Annas and Caiaphas, the word of God came to John, the son of Zacharias, in the wilderness.
He came into all the region around the Jordan, preaching the baptism of repentance for remission of sins.
As it is written in the book of the words of Isaiah the prophet,
“The voice of one crying in the wilderness,
‘Make ready the way of the Lord.
Make his paths straight.
Every valley will be filled.
Every mountain and hill will be brought low.
The crooked will become straight,
and the rough ways smooth.
All flesh will see God’s salvation.’”
",preparation,John the Baptist
18,John 1:19-23,"This is John’s testimony, when the Jews sent priests and Levites from Jerusalem to ask him, “Who are you?”
He declared, and didn’t deny, but he declared, “I am not the Christ.”
They asked him, “What then? Are you Elijah?”
He said, “I am not.”
“Are you the prophet?”
He answered, “No.”
They said therefore to him, “Who are you? Give us an answer to take back to those who sent us. What do you say about yourself?”
He said, “I am the voice of one crying in the wilderness, ‘Make straight the way of the Lord,’ as Isaiah the prophet said.”
",preparation,John the Baptist
19,Matthew 3:7-10,"But when he saw many of the Pharisees and Sadducees coming for his baptism, he said to them, “You offspring of vipers, who warned you to flee from the wrath to come?
Therefore produce fruit worthy of repentance!
Don’t think to yourselves, ‘We have Abraham for our father,’ for I tell you that God is able to raise up children to Abraham from these stones.
“Even now the ax lies at the root of the trees. Therefore every tree that doesn’t produce good fruit is cut down, and cast into the fire.
",preparation,John's Preaching of Repentance
20,Luke 3:7-9,"He said therefore to the multitudes who went out to be baptized by him, “You offspring of vipers, who warned you to flee from the wrath to come?
Therefore produce fruits worthy of repentance, and don’t begin to say among yourselves, ‘We have Abraham for our father;’ for I tell you that God is able to raise up children to Abraham from these stones!
Even now the ax also lies at the root of the trees. Every tree therefore that doesn’t produce good fruit is cut down, and thrown into the fire.”
",preparation,John's Preaching of Repentance
21,Luke 3:10-14,"The multitudes asked him, “What then must we do?”
He answered them, “He who has two coats, let him give to him who has none. He who has food, let him do likewise.”
Tax collectors also came to be baptized, and they said to him, “Teacher, what must we do?”
He said to them, “Collect no more than that which is appointed to you.”
Soldiers also asked him, saying, “What about us? What must we do?”
He said to them, “Extort from no one by violence, neither accuse anyone wrongfully. Be content with your wages.”
",preparation,John Preaching and Replies to Questioners
22,Matthew 3:11-12,"I indeed baptize you in water for repentance, but he who comes after me is mightier than I, whose shoes I am not worthy to carry. He will baptize you in the Holy Spirit.
His winnowing fork is in his hand, and he will thoroughly cleanse his threshing floor. He will gather his wheat into the barn, but the chaff he will burn up with unquenchable fire.”
",preparation,John's Messianic Preaching
23,Mark 1:7-8,"He preached, saying, “After me comes he who is mightier than I, the thong of whose sandals I am not worthy to stoop down and loosen.
I baptized you in water, but he will baptize you in the Holy Spirit.”
",preparation,John's Messianic Preaching
24,Luke 3:15-18,"As the people were in expectation, and all men reasoned in their hearts concerning John, whether perhaps he was the Christ,
John answered them all, “I indeed baptize you with water, but he comes who is mightier than I, the strap of whose sandals I am not worthy to loosen. He will baptize you in the Holy Spirit and fire,
whose fan is in his hand, and he will thoroughly cleanse his threshing floor, and will gather the wheat into his barn; but he will burn up the chaff with unquenchable fire.”
Then with many other exhortations he preached good news to the people,
",preparation,John's Messianic Preaching
25,John 1:24-28,"The ones who had been sent were from the Pharisees.
They asked him, “Why then do you baptize, if you are not the Christ, nor Elijah, nor the prophet?”
John answered them, “I baptize in water, but among you stands one whom you don’t know.
He is the one who comes after me, who is preferred before me, whose sandal strap I’m not worthy to loosen.”
These things were done in Bethany beyond the Jordan, where John was baptizing.
",preparation,John's Messianic Preaching
26,Matthew 14:3-4,"For Herod had laid hold of John, and bound him, and put him in prison for the sake of Herodias, his brother Philip’s wife.
For John said to him, “It is not lawful for you to have her.”
",preparation,The Imprisonment of John
27,Mark 6:17-18,"For Herod himself had sent out and arrested John, and bound him in prison for the sake of Herodias, his brother Philip’s wife, for he had married her.
For John said to Herod, “It is not lawful for you to have your brother’s wife.”
",preparation,The Imprisonment of John
28,Luke 3:19-20,"but Herod the tetrarch, being reproved by him for Herodias, his brother’s
 wife, and for all the evil things which Herod had done,
added this also to them all, that he shut up John in prison.
",preparation;ministry-in-galilee,The Death of John the Baptist
29,Matthew 3:13-17,"Then Jesus came from Galilee to the Jordan to John, to be baptized by him.
But John would have hindered him, saying, “I need to be baptized by you, and you come to me?”
But Jesus, answering, said to him,
“Allow it now, for this is the fitting way for us to fulfill all righteousness.” Then he allowed him.
Jesus, when he was baptized, went up directly from the water: and behold, the heavens were opened to him. He saw the Spirit of God descending as a dove, and coming on him.
Behold, a voice out of the heavens said, “This is my beloved Son, with whom I am well pleased.”
",preparation,The Baptism of Jesus
30,Mark 1:9-11,"In those days, Jesus came from Nazareth of Galilee, and was baptized by John in the Jordan.
Immediately coming up from the water, he saw the heavens parting, and the Spirit descending on him like a dove.
A voice came out of the sky, “You are my beloved Son, in whom I am well pleased.”
",preparation,The Baptism of Jesus
31,Luke 3:21-22,"Now when all the people were baptized, Jesus also had been baptized, and was praying. The sky was opened,
and the Holy Spirit descended in a bodily form like a dove on him; and a voice came out of the sky, saying “You are my beloved Son. In you I am well pleased.”
",preparation,The Baptism of Jesus
32,John 1:29-34,"The next day, he saw Jesus coming to him, and said, “Behold, the Lamb of God, who takes away the sin of the world!
This is he of whom I said, ‘After me comes a man who is preferred before me, for he was before me.’
I didn’t know him, but for this reason I came baptizing in water: that he would be revealed to Israel.”
John testified, saying, “I have seen the Spirit descending like a dove out of heaven, and it remained on him.
I didn’t recognize him, but he who sent me to baptize in water, he said to me, ‘On whomever you will see the Spirit descending, and remaining on him, the same is he who baptizes in the Holy Spirit.’
I have seen, and have testified that this is the Son of God.”
",preparation,The Baptism of Jesus
33,Matthew 1:1-17,"The book of the genealogy of Jesus Christ, the son of David, the son of Abraham.
Abraham became the father of Isaac. Isaac became the father of Jacob. Jacob became the father of Judah and his brothers.
Judah became the father of Perez and Zerah by Tamar. Perez became the father of Hezron. Hezron became the father of Ram.
Ram became the father of Amminadab. Amminadab became the father of Nahshon. Nahshon became the father of Salmon.
Salmon became the father of Boaz by Rahab. Boaz became the father of Obed by Ruth. Obed became the father of Jesse.
Jesse became the father of King David. David became the father of Solomon by her who had been Uriah’s wife.
Solomon became the father of Rehoboam. Rehoboam became the father of Abijah. Abijah became the father of Asa.
Asa became the father of Jehoshaphat. Jehoshaphat became the father of Joram. Joram became the father of Uzziah.
Uzziah became the father of Jotham. Jotham became the father of Ahaz. Ahaz became the father of Hezekiah.
Hezekiah became the father of Manasseh. Manasseh became the father of Amon. Amon became the father of Josiah.
Josiah became the father of Jechoniah and his brothers, at the time of the exile to Babylon.
After the exile to Babylon, Jechoniah became the father of Shealtiel. Shealtiel became the father of Zerubbabel.
Zerubbabel became the father of Abiud. Abiud became the father of Eliakim. Eliakim became the father of Azor.
Azor became the father of Zadok. Zadok became the father of Achim. Achim became the father of Eliud.
Eliud became the father of Eleazar. Eleazar became the father of Matthan. Matthan became the father of Jacob.
Jacob became the father of Joseph, the husband of Mary, from whom was born Jesus, who is called Christ.
So all the generations from Abraham to David are fourteen generations; from David to the exile to Babylon fourteen generations; and from the carrying away to Babylon to the Christ, fourteen generations.
",preparation,The Genealogy of Jesus
34,Matthew 4:1-11,"Then Jesus was led up by the Spirit into the wilderness to be tempted by the devil.
When he had fasted forty days and forty nights, he was hungry afterward.
The tempter came and said to him, “If you are the Son of God, command that these stones become bread.”
But he answered,
“It is written, ‘Man shall not live by bread alone, but by every word that proceeds out of the mouth of God.’”
Then the devil took him into the holy city. He set him on the pinnacle of the temple,
and said to him, “If you are the Son of God, throw yourself down, for it is written, ‘He will put his angels in charge of you.’ and,
‘On their hands they will bear you up,
so that you don’t dash your foot against a stone.’”
Jesus said to him,
“Again, it is written, ‘You shall not test the Lord, your God.’”
Again, the devil took him to an exceedingly high mountain, and showed him all the kingdoms of the world, and their glory.
He said to him, “I will give you all of these things, if you will fall down and worship me.”
Then Jesus said to him,
“Get behind me,
Satan! For it is written, ‘You shall worship the Lord your God, and you shall serve him only.’”

Then the devil left him, and behold, angels came and served him.
",preparation,The Temptation
35,Mark 1:12-13,"Immediately the Spirit drove him out into the wilderness.
He was there in the wilderness forty days tempted by Satan. He was with the wild animals; and the angels were serving him.
",preparation,The Temptation
36,Luke 4:1-13,"Jesus, full of the Holy Spirit, returned from the Jordan, and was led by the Spirit into the wilderness
for forty days, being tempted by the devil. He ate nothing in those days. Afterward, when they were completed, he was hungry.
The devil said to him, “If you are the Son of God, command this stone to become bread.”
Jesus answered him, saying,
“It is written, ‘Man shall not live by bread alone, but by every word of God.’”
The devil, leading him up on a high mountain, showed him all the kingdoms of the world in a moment of time.
The devil said to him, “I will give you all this authority, and their glory, for it has been delivered to me; and I give it to whomever I want.
If you therefore will worship before me, it will all be yours.”
Jesus answered him,
“Get behind me Satan! For it is written, ‘You shall worship the Lord your God, and you shall serve him only.’”
He led him to Jerusalem, and set him on the pinnacle of the temple, and said to him, “If you are the Son of God, cast yourself down from here,
for it is written,
‘He will put his angels in charge of you, to guard you;’
and,
‘On their hands they will bear you up,
lest perhaps you dash your foot against a stone.’”
Jesus answering, said to him,
“It has been said, ‘You shall not tempt the Lord your God.’”
When the devil had completed every temptation, he departed from him until another time.
",preparation,The Temptation
37,John 1:35-51,"Again, the next day, John was standing with two of his disciples,
and he looked at Jesus as he walked, and said, “Behold, the Lamb of God!”
The two disciples heard him speak, and they followed Jesus.
Jesus turned, and saw them following, and said to them,
“What are you looking for?”
They said to him, “Rabbi” (which is to say, being interpreted, Teacher), “where are you staying?”
He said to them,
“Come, and see.”
They came and saw where he was staying, and they stayed with him that day. It was about the tenth hour.
One of the two who heard John, and followed him, was Andrew, Simon Peter’s brother.
He first found his own brother, Simon, and said to him, “We have found the Messiah!” (which is, being interpreted, Christ).
He brought him to Jesus. Jesus looked at him, and said,
“You are Simon the son of Jonah. You shall be called Cephas” (which is by interpretation, Peter).
On the next day, he was determined to go out into Galilee, and he found Philip. Jesus said to him,
“Follow me.”
Now Philip was from Bethsaida, of the city of Andrew and Peter.
Philip found Nathanael, and said to him, “We have found him, of whom Moses in the law, and the prophets, wrote: Jesus of Nazareth, the son of Joseph.”
Nathanael said to him, “Can any good thing come out of Nazareth?”
Philip said to him, “Come and see.”
Jesus saw Nathanael coming to him, and said about him,
“Behold, an Israelite indeed, in whom is no deceit!”
Nathanael said to him, “How do you know me?”
Jesus answered him,
“Before Philip called you, when you were under the fig tree, I saw you.”
Nathanael answered him, “Rabbi, you are the Son of God! You are King of Israel!”
Jesus answered him,
“Because I told you, ‘I saw you underneath the fig tree,’ do you believe? You will see greater things than these!”
He said to him,
“Most certainly, I tell you all, hereafter you will see heaven opened, and the angels of God ascending and descending on the Son of Man.”
",john-jesus-beginning,The Call of the First Disciples
38,John 2:1-11,"The third day, there was a marriage in Cana of Galilee. Jesus’ mother was there.
Jesus also was invited, with his disciples, to the marriage.
When the wine ran out, Jesus’ mother said to him, “They have no wine.”
Jesus said to her,
“Woman, what does that have to do with you and me? My hour has not yet come.”
His mother said to the servants, “Whatever he says to you, do it.”
Now there were six water pots of stone set there after the Jews’ way of purifying, containing two or three metretes apiece.
Jesus said to them,
“Fill the water pots with water.” They filled them up to the brim.
He said to them,
“Now draw some out, and take it to the ruler of the feast.” So they took it.
When the ruler of the feast tasted the water now become wine, and didn’t know where it came from (but the servants who had drawn the water knew), the ruler of the feast called the bridegroom,
and said to him, “Everyone serves the good wine first, and when the guests have drunk freely, then that which is worse. You have kept the good wine until now!”
This beginning of his signs Jesus did in Cana of Galilee, and revealed his glory; and his disciples believed in him.
",john-jesus-beginning,The Marriage at Cana
